ID,Wind speed in km/h,Waterfowl population,Wave Action,Turbidity of water (NTUs)
3993,17,30,Low,NA
3994,17,6,Low,NA
3995,17,NA,None,NA
3996,17,75,Low,NA
3997,17,18,Low,NA
3998,17,10,Low,NA
3999,NA,61,Low,0.8
4000,NA,98,Low,0.78
4001,NA,31,Low,NA
4002,NA,NA,Low,NA
4003,NA,21,Low,NA
4004,NA,97,Low,NA
4005,NA,39,Low,NA
4006,NA,56,Low,NA
4007,NA,32,Low,NA
4008,NA,NA,Low,NA
4009,15,19,Low,1.18
4010,15,27,Low,0.8
4011,15,92,Low,NA
4012,15,6,Moderate,NA
4013,15,173,Moderate,NA
4014,15,68,Low,NA
4015,15,64,Low,NA
4016,15,113,Low,NA
4017,15,53,Low,NA
4018,15,NA,Moderate,NA
4019,13,5,High,2.12
4020,13,15,Low,2.33
4021,13,31,Low,NA
4022,13,9,Moderate,NA
4023,13,101,High,NA
4024,13,9,Low,NA
4025,13,3,Low,NA
4026,13,62,High,NA
4027,13,25,High,NA
4028,13,37,Moderate,NA
4029,11,43,Low,4.33
4030,11,62,Low,0.78
4031,11,12,High,NA
4032,11,14,High,NA
4033,11,8,High,NA
4034,11,9,High,NA
4035,11,19,High,NA
4036,11,71,Low,NA
4037,11,19,Low,NA
4038,11,NA,Low,NA
4039,8,8,Low,0.95
4040,8,26,Low,0.62
4041,8,20,Low,NA
4042,8,11,Low,NA
4043,8,43,Low,NA
4044,8,56,Low,NA
4045,8,14,Low,NA
4046,8,90,Low,NA
4047,8,15,Low,NA
4048,8,10,High,NA
4049,5,24,Low,1
4050,5,98,Low,1.05
4051,5,79,Low,NA
4052,5,6,Low,NA
4053,5,142,Low,NA
4054,5,17,Low,NA
4055,5,40,Low,NA
4056,5,110,Low,NA
4057,5,18,Low,NA
4058,5,NA,Low,NA
4059,15,45,Low,1.87
4060,15,40,Low,2.82
4061,15,14,Low,NA
4062,15,28,Low,NA
4063,15,9,Low,NA
4064,15,13,Low,NA
4065,15,62,Low,NA
4066,15,83,Low,NA
4067,15,29,Low,NA
4068,15,130,Low,NA
4069,13,9,Moderate,1.44
4070,13,17,Low,0.87
4071,13,44,Moderate,NA
4072,13,18,Moderate,NA
4073,13,40,Low,NA
4074,13,20,Low,NA
4075,13,13,Low,NA
4076,13,26,Low,NA
4077,13,4,Low,NA
4078,13,NA,Moderate,NA
4079,11,45,Low,3.09
4080,11,35,High,0.9
4081,11,100,Low,NA
4082,11,20,Low,NA
4083,11,51,Low,NA
4084,11,11,Low,NA
4085,11,11,Low,NA
4086,11,37,Low,NA
4087,11,13,Low,NA
4088,11,24,High,NA
4089,5,NA,None,NA
4090,5,20,Low,0.78
4091,5,NA,None,NA
4092,5,NA,None,NA
4093,5,NA,None,NA
4094,5,NA,None,NA
4095,15,NA,None,NA
4096,15,93,Low,NA
4097,15,16,Low,NA
4098,15,26,Low,NA
4099,21,19,Moderate,1.68
4100,21,23,Low,2.31
4101,21,18,Moderate,NA
4102,21,6,Moderate,NA
4103,21,72,Moderate,NA
4104,21,22,Low,NA
4105,21,19,Low,NA
4106,21,46,Low,NA
4107,21,8,Low,NA
4108,21,22,Low,NA
4109,9,37,Low,1.51
4110,9,78,Low,2.86
4111,9,50,Low,NA
4112,9,4,Low,NA
4113,9,17,Low,NA
4114,9,26,Low,NA
4115,9,26,Low,NA
4116,9,97,Low,NA
4117,9,51,Low,NA
4118,9,NA,Moderate,NA
4119,8,25,Low,1.09
4120,8,120,Low,0.79
4121,8,97,None,NA
4122,8,2,None,NA
4123,8,206,None,NA
4124,8,12,None,NA
4125,8,84,None,NA
4126,8,61,Low,NA
4127,8,18,Low,NA
4128,8,NA,Low,NA
4129,20,33,Low,1.33
4130,20,178,Low,1.16
4131,20,NA,Low,NA
4132,20,NA,Low,NA
4133,20,10,Low,NA
4134,20,1,Low,NA
4135,20,NA,Low,NA
4136,20,79,Low,NA
4137,20,10,Low,NA
4138,20,NA,Low,NA
4139,4,41,Low,1
4140,4,62,Low,1.53
4141,4,114,None,NA
4142,4,NA,None,NA
4143,4,217,None,NA
4144,4,23,None,NA
4145,4,76,None,NA
4146,4,59,Low,NA
4147,4,29,Low,NA
4148,4,57,Low,NA
4149,21,103,Moderate,1.17
4150,21,67,Moderate,1.18
4151,21,12,Low,NA
4152,21,NA,Low,NA
4153,21,21,Low,NA
4154,21,31,Low,NA
4155,21,6,Low,NA
4156,21,13,Low,NA
4157,21,10,Low,NA
4158,21,11,Low,NA
4159,11,14,Low,4.27
4160,11,87,Low,5.15
4161,11,44,Moderate,NA
4162,11,1,Moderate,NA
4163,11,141,Moderate,NA
4164,11,63,Moderate,NA
4165,11,63,Moderate,NA
4166,11,73,Low,NA
4167,11,56,Low,NA
4168,11,NA,Low,NA
4169,NA,10,Low,NA
4170,8,NA,Low,1.93
4171,8,30,Low,1.27
4172,8,NA,Low,NA
4173,8,NA,Low,NA
4174,8,NA,Low,NA
4175,8,NA,Low,NA
4176,8,16,Low,NA
4177,8,21,Low,NA
4178,8,11,Low,NA
4179,8,NA,Low,NA
4180,5,24,Low,1.57
4181,5,108,Low,1.01
4182,5,42,Low,NA
4183,5,16,Low,NA
4184,5,17,Low,NA
4185,5,3,Low,NA
4186,5,10,Low,NA
4187,5,56,Low,NA
4188,5,39,Low,NA
4189,5,25,Low,NA
4190,NA,22,Low,3.31
4191,NA,62,Low,1.48
4192,NA,64,Low,NA
4193,NA,NA,Low,NA
4194,NA,NA,Low,NA
4195,NA,NA,Low,NA
4196,NA,107,Low,NA
4197,NA,78,Low,NA
4198,NA,31,Low,NA
4199,NA,43,Low,NA
4200,5,31,Low,1.37
4201,5,104,Low,1.47
4202,5,10,Low,NA
4203,5,NA,Low,NA
4204,5,33,Low,NA
4205,5,1,Low,NA
4206,5,4,Low,NA
4207,5,63,Low,NA
4208,5,17,Low,NA
4209,5,21,Low,NA
4210,21,18,Low,18.4
4211,21,15,Low,15
4212,21,NA,Low,NA
4213,21,NA,Low,NA
4214,21,30,Low,NA
4215,21,150,Low,NA
4216,20,22,Low,NA
4217,20,NA,Low,NA
4218,20,4,Low,NA
4219,20,9,Low,NA
4220,5,NA,Moderate,1.22
4221,5,13,Moderate,2.33
4222,5,28,Low,NA
4223,5,10,Moderate,NA
4224,5,16,Moderate,NA
4225,5,36,Low,NA
4226,5,19,Low,2.2
4227,5,51,Low,1
4228,5,3,Low,NA
4229,5,NA,Low,NA
4230,5,2,Low,NA
4231,5,90,Low,NA
4232,5,50,Low,NA
4233,5,11,Low,NA
4234,5,4,Low,NA
4235,5,NA,Low,NA
4236,9,NA,Low,2.71
4237,9,14,Low,1.17
4238,9,NA,Low,NA
4239,9,5,Low,NA
4240,9,20,Low,NA
4241,9,61,Low,NA
4242,9,66,Low,NA
4243,9,4,Low,NA
4244,9,38,Low,NA
4245,9,15,Low,NA
4246,28,5,Low,4.45
4247,28,8,Low,2.46
4248,28,12,Low,NA
4249,28,8,Moderate,NA
4250,28,29,Moderate,NA
4251,28,23,Moderate,NA
4252,28,40,Low,NA
4253,28,4,Moderate,NA
4254,28,13,Moderate,NA
4255,28,4,Moderate,NA
4256,18,12,Moderate,5.2
4257,18,71,Moderate,2.8
4258,18,30,Moderate,NA
4259,18,16,Moderate,NA
4260,18,31,Moderate,NA
4261,18,40,Moderate,NA
4262,18,22,Moderate,NA
4263,18,57,Moderate,NA
4264,18,12,Moderate,NA
4265,18,20,Low,8.57
4266,21,3,Low,1.87
4267,21,3,Low,0.86
4268,21,NA,Low,NA
4269,21,NA,Low,NA
4270,21,NA,Low,NA
4271,21,NA,Low,NA
4272,21,21,Low,NA
4273,21,20,Low,NA
4274,21,15,Low,NA
4275,21,25,Low,NA
4276,56,9,Low,21.82
4277,56,18,Low,17.52
4278,56,30,Moderate,NA
4279,8,20,Low,1.34
4280,8,15,Low,0.92
4281,8,2,Low,NA
4282,8,7,Low,NA
4283,8,NA,Low,NA
4284,8,52,Low,NA
4285,8,26,Low,NA
4286,8,14,Low,NA
4287,8,9,Low,NA
4288,8,40,Low,NA
4289,11,23,Low,3.59
4290,11,28,Low,1.62
4291,11,3,Low,NA
4292,11,2,Low,NA
4293,11,NA,Low,NA
4294,11,2,Low,NA
4295,11,40,Low,NA
4296,11,7,Low,NA
4297,11,18,Low,NA
4298,11,45,Moderate,NA
4299,8,NA,Low,1.8
4300,8,NA,Low,1.85
4301,8,NA,Low,NA
4302,8,18,Low,NA
4303,8,42,Low,NA
4304,8,18,Low,NA
4305,8,18,Low,NA
4306,8,NA,Low,NA
4307,8,4,Low,NA
4308,8,35,Low,NA
4309,9,58,Low,1.65
4310,9,41,Low,NA
4311,9,2,Low,NA
4312,9,4,Low,NA
4313,9,7,Low,NA
4314,9,50,Low,NA
4315,9,33,Low,NA
4316,9,8,Low,NA
4317,9,6,Low,NA
4318,9,47,Low,NA
4319,5,1,Low,3.29
4320,5,28,Low,4.28
4321,5,8,Low,NA
4322,5,17,Low,NA
4323,5,43,Low,NA
4324,5,81,Low,NA
4325,5,58,Low,NA
4326,5,NA,Moderate,NA
4327,5,58,Moderate,NA
4328,5,25,Moderate,NA
4329,NA,9,Low,5.54
4330,NA,NA,Low,1.98
4331,NA,NA,Low,NA
4332,NA,5,Low,NA
4333,NA,7,Low,NA
4334,NA,40,Low,NA
4335,NA,20,Low,NA
4336,NA,5,Low,NA
4337,NA,15,Low,NA
4338,NA,6,Low,NA
4339,9,26,Low,2.44
4340,9,48,Low,1.58
4341,9,22,Moderate,NA
4342,9,7,Moderate,NA
4343,9,35,Low,NA
4344,9,9,Low,NA
4345,9,50,Low,NA
4346,9,10,Low,NA
4347,9,23,Low,NA
4348,9,NA,Low,NA
4349,24,32,Low,6.24
4350,24,12,Low,4.29
4351,24,39,Low,NA
4352,24,1,Low,NA
4353,24,10,Low,NA
4354,24,20,Low,NA
4355,24,32,Low,NA
4356,24,2,Low,NA
4357,24,42,Low,NA
4358,24,10,Low,NA
4359,11,4,Low,1.08
4360,11,14,Low,0.94
4361,11,35,Low,NA
4362,11,7,Low,NA
4363,11,42,Low,NA
4364,11,10,Low,NA
4365,11,3,Low,NA
4366,11,2,Low,NA
4367,11,5,Low,NA
4368,11,12,Low,NA
4369,17,NA,None,NA
4370,17,46,High,2.41
4371,17,25,High,NA
4372,17,NA,High,NA
4373,17,30,High,NA
4374,17,NA,Low,NA
4375,17,27,Low,NA
4376,17,11,High,NA
4377,17,23,High,NA
4378,17,NA,None,NA
4379,11,21,Low,1.87
4380,11,16,Low,0.59
4381,11,21,Low,NA
4382,11,NA,Low,NA
4383,11,42,Low,NA
4384,11,36,Low,NA
4385,11,17,Low,NA
4386,11,12,Low,NA
4387,11,39,Low,NA
4388,11,15,Low,NA
4389,18,68,Moderate,2.16
4390,18,NA,Moderate,2.66
4391,18,37,Low,NA
4392,18,8,Low,NA
4393,18,30,Low,NA
4394,18,26,Low,NA
4395,18,21,Low,NA
4396,28,31,Moderate,1.18
4397,28,200,Low,0.97
4398,28,101,Moderate,NA
4399,28,NA,Moderate,NA
4400,28,51,Moderate,NA
4401,28,14,Moderate,NA
4402,28,63,Low,NA
4403,28,41,Moderate,NA
4404,28,91,Moderate,NA
4405,28,NA,High,NA
4406,5,22,Low,2.58
4407,5,98,Low,1.13
4408,5,136,Moderate,NA
4409,5,2,Moderate,NA
4410,5,217,Moderate,NA
4411,5,8,Low,NA
4412,5,89,Low,NA
4413,5,97,Low,NA
4414,5,14,Low,NA
4415,5,20,Moderate,NA
4416,15,27,Low,1.27
4417,15,4,Low,1.57
4418,15,NA,Low,NA
4419,15,5,Low,NA
4420,15,21,Low,NA
4421,15,53,Low,NA
4422,15,11,Low,NA
4423,15,8,Low,NA
4424,15,2,Low,NA
4425,15,42,Low,NA
4426,17,NA,None,NA
4427,17,68,High,20
4428,17,NA,None,NA
4429,17,NA,None,NA
4430,17,NA,None,NA
4431,17,NA,None,NA
4432,17,5,High,NA
4433,17,12,Moderate,NA
4434,17,2,Moderate,NA
4435,17,3,High,NA
4436,11,34,Low,2.55
4437,11,71,Low,1.14
4438,11,52,Low,NA
4439,11,12,Low,NA
4440,11,27,Low,NA
4441,11,6,Low,NA
4442,11,33,Low,NA
4443,11,3,Low,NA
4444,11,11,Low,NA
4445,11,19,Low,NA
4446,18,28,Low,1.4
4447,18,13,Low,2.21
4448,18,20,Low,NA
4449,18,NA,Low,NA
4450,18,12,Low,NA
4451,18,100,Low,NA
4452,17,33,Low,NA
4453,17,8,Low,NA
4454,17,45,Low,NA
4455,17,NA,Low,NA
4456,8,9,Moderate,1.4
4457,8,67,Low,2.58
4458,8,22,Low,NA
4459,8,7,Low,NA
4460,8,34,Low,NA
4461,8,31,Low,NA
4462,8,40,Low,NA
4463,8,3,Low,NA
4464,8,27,Low,NA
4465,8,NA,Moderate,NA
4466,17,16,Low,1.11
4467,17,21,Low,0.88
4468,17,22,Low,NA
4469,17,31,Low,NA
4470,17,74,Low,NA
4471,17,2,Low,NA
4472,17,30,Low,NA
4473,17,15,Low,NA
4474,17,10,Low,NA
4475,17,9,Low,NA
4476,4,1,Low,0.88
4477,4,73,Low,0.9
4478,4,5,Low,NA
4479,4,NA,Low,NA
4480,4,39,Low,NA
4481,4,13,Low,NA
4482,4,41,Low,NA
4483,4,20,Low,NA
4484,4,10,Low,NA
4485,4,6,Low,NA
4486,14,NA,Low,2.12
4487,14,NA,Low,1.18
4488,14,8,Low,NA
4489,14,6,Low,NA
4490,14,31,Low,NA
4491,14,35,Moderate,NA
4492,14,21,Low,NA
4493,14,NA,Low,NA
4494,14,10,Low,NA
4495,14,16,Low,NA
4496,15,11,Low,2.29
4497,15,68,Low,1.28
4498,15,51,Low,NA
4499,15,3,Low,NA
4500,15,43,Low,NA
4501,15,8,Low,NA
4502,13,6,Low,NA
4503,13,29,Low,NA
4504,13,15,Low,NA
4505,13,10,Low,NA
4506,11,104,None,1.87
4507,11,46,None,2.24
4508,11,12,Low,NA
4509,11,NA,Low,NA
4510,11,29,Low,NA
4511,11,61,Low,NA
4512,5,31,Moderate,NA
4513,5,8,Moderate,NA
4514,5,13,Moderate,NA
4515,5,7,Moderate,NA
4516,21,1,Low,3.49
4517,21,26,Low,1.14
4518,21,10,Low,NA
4519,21,8,Low,NA
4520,21,58,Low,NA
4521,21,71,Low,NA
4522,21,39,Low,NA
4523,21,3,Low,NA
4524,21,9,Low,NA
4525,21,10,Low,NA
4526,21,NA,None,NA
4527,21,60,High,4
4528,21,NA,None,NA
4529,21,NA,None,NA
4530,21,NA,None,NA
4531,21,NA,None,NA
4532,21,NA,None,NA
4533,21,1,High,NA
4534,21,1,High,NA
4535,21,NA,High,NA
4536,18,NA,None,NA
4537,18,22,Moderate,2.1
4538,18,28,Low,NA
4539,18,11,Moderate,NA
4540,18,40,Low,NA
4541,18,8,Low,NA
4542,18,22,Low,NA
4543,18,NA,Moderate,NA
4544,18,12,Moderate,NA
4545,18,10,Moderate,NA
4546,18,NA,Low,5.26
4547,18,NA,Low,3.74
4548,18,NA,Moderate,NA
4549,18,NA,Moderate,NA
4550,18,12,Moderate,NA
4551,18,33,Moderate,NA
4552,21,33,Moderate,NA
4553,21,10,Moderate,NA
4554,21,25,Moderate,NA
4555,21,33,Moderate,NA
4556,11,NA,Low,1.7
4557,11,39,Low,2.42
4558,11,32,Low,NA
4559,11,14,Low,NA
4560,11,30,Low,NA
4561,11,6,Low,NA
4562,11,27,Low,NA
4563,11,15,Low,NA
4564,11,10,Low,NA
4565,11,15,Low,NA
4566,13,3,Low,1.46
4567,13,53,Low,1.92
4568,13,28,Low,NA
4569,13,11,Low,NA
4570,13,22,Low,NA
4571,13,19,Low,NA
4572,13,30,Low,NA
4573,13,NA,Low,NA
4574,13,4,Low,NA
4575,13,30,Low,NA
4576,35,46,Low,1.39
4577,35,21,Low,1.31
4578,35,2,Low,NA
4579,35,NA,Low,NA
4580,35,27,Low,NA
4581,35,32,Low,NA
4582,35,32,Low,NA
4583,35,5,Low,NA
4584,35,31,Low,NA
4585,35,NA,Low,NA
4586,11,NA,Low,0.93
4587,11,NA,Low,1.61
4588,11,3,Low,NA
4589,11,NA,Low,NA
4590,11,31,Low,NA
4591,11,51,Low,NA
4592,11,10,Low,NA
4593,11,16,Low,NA
4594,11,20,Low,NA
4595,11,5,Low,NA
4596,11,31,Low,NA
4597,11,8,Low,NA
4598,11,25,Low,NA
4599,11,17,Low,NA
4600,17,6,Low,2.46
4601,17,18,Low,NA
4602,17,61,Low,NA
4603,17,23,Low,NA
4604,17,39,Low,NA
4605,17,19,Low,NA
4606,17,52,Low,NA
4607,17,3,Low,NA
4608,17,10,Low,NA
4609,17,9,Low,NA
4610,9,NA,Low,7.92
4611,9,11,Low,1.27
4612,9,49,Low,NA
4613,9,11,Low,NA
4614,9,32,Low,NA
4615,9,6,Low,NA
4616,9,17,Low,NA
4617,9,20,Low,NA
4618,9,NA,Low,NA
4619,9,15,Low,NA
4620,13,NA,None,2.4
4621,13,14,None,1.39
4622,13,22,Low,NA
4623,13,4,Low,NA
4624,13,29,Low,NA
4625,13,NA,Low,NA
4626,18,19,Low,2.13
4627,18,46,Low,2.82
4628,18,33,Moderate,NA
4629,18,4,Low,NA
4630,18,30,Low,NA
4631,18,41,Low,NA
4632,18,30,Low,NA
4633,18,15,Low,NA
4634,18,6,Low,NA
4635,18,13,Low,NA
4636,11,17,Low,3.97
4637,11,64,Low,2.24
4638,11,25,Low,NA
4639,11,10,Low,NA
4640,11,13,Low,NA
4641,11,22,Low,NA
4642,11,29,Low,NA
4643,11,15,Low,NA
4644,11,70,Low,NA
4645,11,NA,Low,NA
4646,13,26,Low,1.38
4647,13,41,Low,1.62
4648,13,4,Low,NA
4649,13,11,Low,NA
4650,13,16,Low,NA
4651,13,2,Low,NA
4652,13,30,Low,NA
4653,13,9,Low,NA
4654,13,26,Low,NA
4655,13,NA,Low,NA
4656,13,16,Low,NA
4657,13,5,Low,NA
4658,13,26,Low,NA
4659,13,NA,Low,NA
4660,13,1,Low,3.32
4661,13,23,Low,1.24
4662,13,43,Low,NA
4663,13,3,Low,NA
4664,13,31,Low,NA
4665,13,12,Low,NA
4666,13,67,Low,NA
4667,13,3,Low,NA
4668,13,5,Low,NA
4669,13,NA,Low,NA
4670,5,21,Low,1.71
4671,5,211,Low,5.23
4672,5,72,Low,NA
4673,5,18,Low,NA
4674,5,33,Low,NA
4675,5,54,Low,NA
4676,5,21,Low,NA
4677,5,NA,Low,NA
4678,5,NA,Low,NA
4679,5,11,Low,NA
4680,20,7,Low,7.21
4681,20,89,Low,2.28
4682,20,18,Low,NA
4683,20,25,Low,NA
4684,20,41,Low,NA
4685,20,13,Low,NA
4686,20,9,Low,NA
4687,20,NA,Low,NA
4688,20,NA,Low,NA
4689,20,NA,Low,3.23
4690,13,NA,High,5.08
4691,13,NA,Low,1.23
4692,13,60,High,NA
4693,13,30,High,NA
4694,13,66,High,NA
4695,13,28,Moderate,NA
4696,13,51,Moderate,NA
4697,13,2,High,NA
4698,13,21,High,NA
4699,13,NA,None,NA
4700,18,4,Low,NA
4701,18,23,Low,NA
4702,18,5,Low,NA
4703,35,NA,Low,1.1
4704,35,46,Low,1.16
4705,35,69,Low,NA
4706,35,12,Low,NA
4707,35,20,Low,NA
4708,35,9,Low,NA
4709,35,27,Low,NA
4710,35,25,Low,NA
4711,35,30,Low,NA
4712,35,NA,Low,NA
4713,9,9,High,3.94
4714,9,31,High,4.2
4715,9,NA,None,NA
4716,9,NA,High,NA
4717,9,NA,High,NA
4718,9,NA,High,NA
4719,9,NA,High,NA
4720,9,21,Moderate,NA
4721,9,7,Moderate,NA
4722,9,18,High,NA
4723,13,9,Low,4.95
4724,13,16,Low,5.46
4725,13,33,Low,NA
4726,13,4,Low,NA
4727,13,42,Low,NA
4728,13,8,Low,NA
4729,13,NA,Low,NA
4730,13,8,Moderate,NA
4731,13,14,Moderate,NA
4732,13,16,Low,NA
4733,11,21,Moderate,2.15
4734,11,25,Low,5.24
4735,11,12,Moderate,NA
4736,11,12,Moderate,NA
4737,11,23,Moderate,NA
4738,11,13,Moderate,NA
4739,11,NA,None,NA
4740,11,12,Low,NA
4741,21,3,Low,2.31
4742,21,32,Low,2.68
4743,21,NA,Low,NA
4744,21,15,Low,NA
4745,21,13,Low,NA
4746,21,28,Low,NA
4747,21,62,Moderate,NA
4748,21,5,Low,NA
4749,21,16,Low,NA
4750,21,NA,Low,NA
4751,13,65,Low,65.2
4752,13,42,Low,47
4753,13,21,Low,NA
4754,13,7,Low,NA
4755,13,17,Low,NA
4756,13,31,Low,NA
4757,13,60,Low,NA
4758,13,5,None,NA
4759,13,20,None,NA
4760,13,NA,Low,NA
4761,22,16,Low,10.2
4762,22,24,Low,21.3
4763,22,12,Low,NA
4764,22,16,Low,NA
4765,22,19,Low,NA
4766,22,2,Low,NA
4767,22,25,Low,NA
4768,22,4,Low,NA
4769,22,10,Low,NA
4770,22,20,Low,NA
4771,22,21,Low,5.4
4772,22,25,Low,8.9
4773,22,10,Moderate,NA
4774,22,15,Low,NA
4775,22,12,Low,NA
4776,22,NA,Low,NA
4777,20,12,Low,NA
4778,20,10,Moderate,NA
4779,20,NA,Low,NA
4780,20,NA,Low,NA
4781,13,14,Low,1.17
4782,13,83,Low,1.17
4783,13,50,Low,NA
4784,13,6,Low,NA
4785,13,35,Low,NA
4786,13,12,Low,NA
4787,13,41,Low,NA
4788,13,NA,None,NA
4789,13,50,Low,NA
4790,13,20,Low,NA
4791,11,17,Low,NA
4792,11,19,Low,NA
4793,56,NA,Moderate,NA
4794,56,12,Moderate,NA
4795,56,56,Moderate,NA
4796,56,27,Moderate,NA
4797,56,11,Moderate,NA
4798,56,17,Moderate,NA
4799,56,NA,High,NA
4800,15,3,None,4.64
4801,15,26,None,1.37
4802,15,50,Low,NA
4803,15,NA,Low,NA
4804,15,NA,Low,NA
4805,15,NA,High,NA
4806,15,25,Low,NA
4807,15,3,None,NA
4808,15,16,None,NA
4809,15,20,Low,NA
4810,8,9,Low,NA
4811,8,13,Low,NA
4812,8,NA,Low,NA
4813,8,NA,Low,5.58
4814,8,15,Low,2.07
4815,8,17,Low,NA
4816,8,6,Low,NA
4817,8,55,Low,NA
4818,8,17,Low,NA
4819,8,30,Low,NA
4820,8,5,Low,NA
4821,8,10,Low,NA
4822,8,NA,Moderate,NA
4823,28,NA,None,NA
4824,28,111,High,42.15
4825,28,NA,None,NA
4826,28,NA,None,NA
4827,28,NA,None,NA
4828,28,NA,None,NA
4829,28,12,High,NA
4830,28,6,High,NA
4831,28,3,High,NA
4832,28,NA,High,NA
4833,4,14,Low,2.88
4834,4,26,Low,2.01
4835,4,33,Low,NA
4836,4,4,Low,NA
4837,4,28,Low,NA
4838,4,16,Low,NA
4839,4,22,Low,NA
4840,4,4,Low,NA
4841,4,18,Low,NA
4842,4,19,Low,NA
4843,13,4,Low,1.75
4844,13,21,Low,8.7
4845,13,5,Low,NA
4846,13,21,Low,NA
4847,13,14,Low,NA
4848,13,34,Low,NA
4849,13,2,Low,NA
4850,13,11,Low,NA
4851,13,17,Low,NA
4852,13,30,Low,NA
4853,9,29,Low,5.06
4854,9,12,Moderate,2.03
4855,9,15,Moderate,NA
4856,9,NA,None,NA
4857,NA,120,Low,6.58
4858,NA,120,Low,1.44
4859,NA,42,Low,NA
4860,NA,14,Low,NA
4861,NA,77,Low,NA
4862,NA,5,Low,NA
4863,5,51,Low,NA
4864,5,51,Low,NA
4865,5,29,Low,NA
4866,5,24,Moderate,NA
4867,8,6,Low,1.65
4868,8,4,Low,0.89
4869,8,NA,Low,NA
4870,8,2,Low,NA
4871,8,8,Low,NA
4872,8,13,Low,NA
4873,8,10,Low,NA
4874,8,6,Low,NA
4875,8,3,Low,NA
4876,8,50,Low,NA
4877,9,NA,Low,2.86
4878,9,21,Low,1.29
4879,9,NA,Low,NA
4880,9,NA,Low,NA
4881,9,10,Low,NA
4882,9,5,Low,NA
4883,9,37,Low,NA
4884,9,4,Low,NA
4885,9,4,Low,NA
4886,9,20,Moderate,NA
4887,26,40,Low,1.65
4888,26,9,Low,2.23
4889,26,30,Low,NA
4890,26,NA,Low,NA
4891,26,5,Low,NA
4892,26,50,Low,NA
4893,26,17,Low,NA
4894,26,2,Low,NA
4895,26,NA,Low,NA
4896,26,NA,Low,NA
4897,33,23,Low,15.8
4898,33,11,Low,4.6
4899,33,12,Low,NA
4900,33,2,Low,NA
4901,33,21,Low,NA
4902,33,25,Low,NA
4903,33,31,Low,NA
4904,33,15,Low,NA
4905,33,20,Low,NA
4906,33,NA,Low,NA
4907,11,11,Low,2.11
4908,11,23,Low,1.68
4909,11,21,Low,NA
4910,11,NA,Low,NA
4911,11,37,Low,NA
4912,11,26,Low,NA
4913,11,49,Low,NA
4914,11,13,Low,NA
4915,11,32,Low,NA
4916,11,22,Low,NA
4917,8,32,Low,1.34
4918,8,64,Low,1.02
4919,8,30,Low,NA
4920,8,NA,Low,NA
4921,8,23,Low,NA
4922,8,NA,Low,NA
4923,8,7,Low,NA
4924,8,10,Low,NA
4925,8,20,Low,NA
4926,8,NA,Low,1.26
4927,7,1,Low,5.09
4928,7,42,Low,2.49
4929,7,42,Low,NA
4930,7,16,Low,NA
4931,7,22,Low,NA
4932,7,36,Low,NA
4933,7,21,Low,NA
4934,7,6,Low,NA
4935,7,14,Low,NA
4936,7,3,Low,NA
4937,15,18,Low,5.89
4938,15,311,Low,9.54
4939,15,30,Low,NA
4940,15,8,Low,NA
4941,15,66,Low,NA
4942,15,29,Low,NA
4943,15,7,Low,NA
4944,15,3,Low,NA
4945,15,5,Low,NA
4946,15,25,Low,NA
4947,26,16,Low,5.01
4948,26,10,Low,3.12
4949,26,11,Low,NA
4950,26,NA,Low,NA
4951,26,36,Low,NA
4952,26,51,Low,NA
4953,28,25,Low,NA
4954,28,6,Low,NA
4955,28,10,Low,NA
4956,28,6,Low,NA
4957,9,20,High,NA
4958,9,20,Low,NA
4959,9,30,Low,NA
4960,9,NA,High,NA
4961,9,10,High,NA
4962,9,NA,None,NA
4963,15,39,Moderate,3.14
4964,15,7,Moderate,2.13
4965,15,5,High,NA
4966,15,NA,High,NA
4967,15,20,Moderate,NA
4968,15,NA,Moderate,NA
4969,15,30,Moderate,NA
4970,15,13,Moderate,NA
4971,15,5,Moderate,NA
4972,15,17,Low,NA
4973,9,37,Low,0.88
4974,9,104,Low,1.9
4975,9,55,Low,NA
4976,9,NA,Low,NA
4977,9,9,Low,NA
4978,9,11,Low,NA
4979,9,11,Low,NA
4980,9,79,Low,NA
4981,9,32,Low,NA
4982,9,NA,Low,NA
4983,10,39,Moderate,2.81
4984,10,38,Low,2.3
4985,10,20,Moderate,NA
4986,10,6,Moderate,NA
4987,10,57,Moderate,NA
4988,10,32,Moderate,NA
4989,10,12,Moderate,NA
4990,10,72,Low,NA
4991,10,49,High,NA
4992,10,NA,Moderate,NA
4993,13,30,Low,6.28
4994,13,47,Low,2.14
4995,13,103,Moderate,NA
4996,13,NA,Low,NA
4997,13,231,Low,NA
4998,13,8,Low,NA
4999,13,142,None,NA
5000,13,131,Low,NA
5001,13,48,Low,NA
5002,13,12,Low,NA
5003,8,30,Low,8.57
5004,8,22,Low,6.4
5005,8,4,Low,NA
5006,8,5,Low,NA
5007,8,7,Low,NA
5008,8,100,Low,NA
5009,8,3,Low,NA
5010,8,5,Low,NA
5011,8,1,Low,NA
5012,8,47,Low,NA
5013,15,NA,Low,19.1
5014,15,46,Low,11.8
5015,15,12,Moderate,NA
5016,15,2,High,NA
5017,15,20,Moderate,NA
5018,15,36,Moderate,NA
5019,15,33,Low,NA
5020,15,NA,Low,NA
5021,15,10,Low,NA
5022,15,NA,Low,NA
5023,5,NA,Low,11.2
5024,5,9,Low,2.08
